name,design,tool,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,mi
iron,Copy(ExtKern),radon,6,12,7,14,18,21,58.52932501298082,87.56842503028855,3.5,306.4894876060099,17.02719375588944,0.029189475010096184,mi
iron,GEMM,radon,12,132,141,278,144,419,972.8795737639698,3004.198575604329,12.636363636363637,37962.14563718198,2109.0080909545545,1.001399525201443,mi
iron,Conv2D(),radon,2,12,9,18,14,27,45.01955000865388,102.7985828955553,1.5,154.19787434333296,8.566548574629609,0.03426619429851843,mi
iron,VSOp(Add),radon,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,mi
iron,MTranspose,radon,4,7,4,7,11,11,27.651484454403228,38.053747805010275,2.0,76.10749561002055,4.228194200556697,0.012684582601670092,mi
iron,Copy(DMA),radon,3,14,7,14,17,21,58.05785641096992,85.83671966625714,1.5,128.75507949938572,7.153059972188095,0.02861223988875238,mi
iron_ext,VReduce(Max),radon,0,0,0,0,0,0,0,0,0,0,0.0,0.0,mi
iron_ext,ColorThreshold,radon,4,14,10,20,18,30,61.30296890880645,125.09775004326937,2.857142857142857,357.42214298076965,19.85678572115387,0.04169925001442312,mi
iron_ext,EdgeDetect,radon,6,15,11,21,21,32,74.11313393845472,140.55415752892034,4.2,590.3274616214654,32.79597009008141,0.04685138584297345,mi
iron_ext,Conv2D(FusedReLU),radon,2,10,8,16,12,24,35.219280948873624,86.03910001730776,1.6,137.66256002769242,7.647920001538468,0.028679700005769252,mi
iron_ext,VSOp(Mul),radon,6,12,7,14,18,21,58.52932501298082,87.56842503028855,3.5,306.4894876060099,17.02719375588944,0.029189475010096184,mi
iron_ext,Copy(Kern),radon,5,9,5,10,14,15,40.13896548741762,57.110323830864054,2.7777777777777777,158.6397884190668,8.813321578837044,0.019036774610288017,mi
iron_ext,VVOp(Mul),radon,4,10,5,10,14,15,41.219280948873624,57.110323830864054,2.0,114.22064766172811,6.345591536762672,0.019036774610288017,mi
